filename,abstract,top1,top2,top3
file-10,"After blowing up talks in a bizarre fit earlier this week, President Donald Trump has pulled a full 180 and is now desperate to reach a deal with Democrats on coronavirus relief.
Meanwhile, Treasury Secretary Steve Mnuchin is upping his offer to House Speaker Nancy Pelosi.
Last week, before Trump walked out on the deal, it was $1.6 trillion.
Take the Deal, Pelosi
McConnell isn’t quite shutting the door on any possibility of a deal—because that would be rude—but he is coming awfully close, presumably because he’d rather spend his time confirming Amy Coney Barrett to the Supreme Court and is not that invested in Donald Trump’s reelection strategy at this stage.
If McConnell wants to kill the package in the Senate because his life’s sole purpose is confirming conservative judges, then Democrats can spend the next three weeks flogging the GOP for that decision.
Donald Trump
Mitch McConnell","('$1.8', 0.16628856844482925)","('jake', 0.16628856844482925)","('mcconnell', 0.15909069586181648)"
file-11,"While most people will view the fact that Trump paid almost nothing in income taxes over the past 15 years as a political matter—does this hurt or help him?
Taxpayers should be allowed to deduct economic losses they suffer if they have basis in the amounts lost.
You never paid tax on the $50 of gain when the price rose, so you can’t deduct the $50 loss when it falls back again.
A related issue is whether taxpayers should be allowed to deduct a loss in one year against gains from another year, whether in the past or going forward.
Much has been made of the fact that Trump paid little or nothing in taxes most years, often because he claimed massive losses incurred in previous years.
The next question is whether taxpayers should be allowed to use losses from one venture to offset gains in another, as Trump has done with his casino and other business losses to help him avoid paying taxes on his considerable earnings from The Apprentice.
However, if a business incurs this spending in pursuit of profit, the rules often allow such expenses to be deducted.
Trump could deduct his hair styling as a business expense, while you and I simply cannot.
Whether legitimate or illegitimate, the current rules afford opportunities for some taxpayers to run their personal expenses through their business to claim a deduction to which they are not necessarily entitled.
In Trump’s case, he deducted his hairstyling as a business expense, while you and I simply cannot.
He also allegedly claimed that the Seven Springs estate he owns in Westchester County, New York, was being held for investment—even though one of his sons once described it as a “family compound” where they spent lots of time—entitling Trump to significant deductions that are unavailable to others who own second homes.
While this last example does not involve running an expense through a business, it is yet another attempt to deduct personal consumption.
Next, the large consulting fees paid to Ivanka Trump raise interesting assignment of income questions.
By signing a deal with a land conservancy not to develop most of the land where the residence is located, Trump was able to claim a $21.1 million charitable tax deduction.
But after some initial plans for the property fell through, it’s not at all clear that Trump was still planning to develop the land or how much value was given up.
This works well for individuals, but not so well for businesses and the wealthy, whose income and expenses are often not reported by third parties to the IRS.","('tax', 0.4177917046369867)","('deduct', 0.26831886255477433)","('deduction', 0.20123914691608075)"
file-12,"Stop me if you’ve heard this one before: The next big thing in American soccer is a 17-year-old hybrid attacking force who’s earning major minutes alongside some of the world’s most exciting young players at perennial German powerhouse Borussia Dortmund.
Four (!) years after Christian Pulisic’s breakout season with Dortmund and the U.S. men’s national team, Gio Reyna is mirroring his countryman’s rapid rise with spooky precision.
Still, with Dortmund’s level of talent, all but the most optimistic forecasts envisioned another season as a rotation player, earning spot starts but mostly spelling the likes of Jadon Sancho, Marco Reus, Julian Brandt, and Thorgan Hazard off the bench.
Reyna to Haaland again!The 17-year-old American has three assists today!
His performance Saturday means Reyna is currently tied for the league lead in assists, and he’s either scored or assisted more than half of Dortmund’s seven goals in the still-young season.
Reyna is the son of U.S. men’s national team captain–turned–Major League Soccer executive Claudio Reyna.
Players with parents steeped in the game are likely to receive high-level instruction from a young age, even if it’s just in the park or the backyard, that their peers don’t get until they’re promoted to the right level with the right coach.
Present day Manchester City caused a triple-take on soccer Twitter in September when it started 17-year-old Liam Delap, the son of the industrious Irish midfielder Rory Delap, most famous for the chaos-instilling long throw-ins he’d catapult into the box with Stoke City and just about the last player you’d expect to get within even his throwing distance of a Pep Guardiola side.
In the U.S., you’re less likely to find an uncle who played in the third division or a neighbor who was in some big club’s youth ranks—someone who can be a coach or an opponent that identifies and polishes a young player’s promise and gives them the small, often informal boost they need to become a real prospect.
(You’re more likely, however, to have a woman in your life who played at a high level, like both Reyna and Pulisic’s mothers did.)
Dortmund’s attack is so stacked that, for head coach Lucien Favre, picking lineups is like choosing a proper loadout in a video game: more dribbling or more passing, ball progression or penetration, goal-scoring threat or defensive diligence?
Reyna’s ability to mold his game to fit his teammates will be crucial when he slots into the U.S. men’s national team’s attack, which seems likely to happen as soon as the U.S. is back to playing games with a full team.
One day it might not be necessary for an American player to be the son of soccer royalty to get a head start toward the top ranks of the sport.","('soccer', 0.43310772207935283)","('reyna', 0.2998438075933981)","('reyna’s', 0.2665278289719094)"
file-13,"The COVID pandemic and the work-from-home-in-sweatpants culture it’s accelerated tipped Brooks Brothers over a cliff.
For more than a century, Brooks Brothers defined fashion for a certain kind of East Coast American elite.
First, says fashion journalist Kate Betts, the Italians went after the top end: “In the ’80s, you had these Italian designers coming in and, at a slightly higher price point, offering a much different, more stylized look.” Brands like Giorgio Armani, she says, became the go-to for suits “for a certain aspirational customer.
Men were more open to fashion, and they no longer felt they needed to shop at one place and buy the same trusty make of clothes over and over.
“Brands like Ralph Lauren, Tommy Hilfiger, even J.Crew to a certain extent, came in and went for that Ivy League/English look that Brooks Brothers had really been the first to adapt to all the way back in 1818 at its founding,” Betts says.
“Ralph Lauren presented Brooks Brothers in a way that felt relevant to me as a person who’s not white.
… I speak to a lot of people in the menswear industry and even the tailoring trade who grew up as teens in the ’90s, and I find that’s a very common story: Many people first discovered classic clothing at a Ralph Lauren store.
Ralph Lauren had actually started in men’s fashion as a clerk at the Brooks Brothers flagship store in Manhattan.
In these new hands, some beloved Brooks Brothers items, like the classic Oxford cloth shirt, got some dubious updates.
Guy explains: “Historically, the Brooks Brothers collar was not lined, it was unlined.
… When the customer goes into Brooks Brothers, they may not know all this stuff about, whatever, single-needle stitching and all these kind of details.
Marks & Spencer sold Brooks Brothers in 2001 to Claudio Del Vecchio, son of the founder of Luxottica Group, the Italian eyewear conglomerate that owns brands like Ray-Ban and Oakley.
The sales guy who used to wear a suit for all his client calls was now maybe wearing a short-sleeved shirt and khakis.
The guy who used to wear khakis was now maybe wearing so-called athleisure clothing.
Casual and athleisure wear is just not what people expect or want from Brooks Brothers.
And then eventually the sweater gave way, and now many men only purchase a dress shirt and the chinos.
Of course, during a pandemic, when a work meeting means a Zoom call, men don’t need pants and shoes at all, never mind nice ones from Brooks.
Brooks had once been the uniform of the white-collar office worker.
“And I think Brooks Brothers represented a certain way of doing business that may just be very difficult to do in the future.”
“If it’s just a licensed name, it could be that 20 years down the road, Brooks Brothers lives on as a stack of shirts on Amazon,” he says.
Whether that suit will be made by Brooks Brothers remains to be seen.","('brooks', 0.7145778006598716)","('brothers', 0.3572889003299358)","('guy', 0.13629887940738925)"
file-14,"Aaron Sorkin, bard of blowhards, poet of patriotism, orchestrator of countless West Wing walk and talks and ripped-from-the-headlines clashes of ideas, is either the exact right or exact wrong writer for our highly unsubtle historical moment.
Sacha Baron Cohen brings energy and goofy verve to what might otherwise be (and sometimes is) a stodgy courtroom drama.
The Trial of the Chicago 7 (which begins streaming on Netflix on Friday) is only Sorkin’s second time around both writing and directing a feature film, and though he continues to be better at the former than the latter, the new movie is more ambitious and livelier than the sharply written but clunkily paced Molly’s Game.
This is in effect an all-star biopic, the story of not seven but eight ’60s counterculture figures who endured a protracted and highly publicized trial after the protests of the 1968 Democratic National Convention in Chicago turned violent.
Some, like Tom Hayden (Eddie Redmayne), were idealistic student organizers in the movement against the Vietnam War. Others, like Abbie Hoffman (Sacha Baron Cohen) and Jerry Rubin (Jeremy Strong), came from a more radical wing of the left, the pranksterish group Hoffman dubbed the Youth International Party, or the “Yippies.”
Sign up for the Slate Culture newsletter
The range of approaches to protest among these groups—including the militant anti-racist Panthers, represented by Seale and his second-in-command Fred Hampton (Kelvin Harrison Jr.)—provides a springboard for any number of Sorkinian debates, some in the formal atmosphere of the courtroom, some in informal settings where the young activists butt heads.
Moreover, clips of the real-life Hoffman show that, big as Baron Cohen plays the character, the actor isn’t just hamming it up: The charismatic leader worked audiences at public events with the timing of a stand-up comic.
The film’s uninterrogated gender politics represent one of many ways in which The Trial of the Chicago 7, for all its firebrand banter, remains a fundamentally traditionalist movie.
But watching it at a moment when the majority of the population is moving leftward while our institutions are held hostage by a far-right minority—and when police violence continues, unchecked and unprosecuted, in the streets—provides the vicarious pleasure of watching a bunch of hyperarticulate progressives speak truth to power, and it feels pretty damn good, even if they do all talk a lot like Aaron Sorkin.
Sacha Baron Cohen","('baron', 0.22301425719908177)","('hoffman', 0.1784114057592654)","('trial', 0.1784114057592654)"
file-15,"29, Andrew Hitt, the chair of the Wisconsin state Republican Party, sent an open letter to Claire Woodall-Vogg, executive director of the Milwaukee Election Commission, to express his concern about the potential presence of sports mascots (including the Brewers’ racing sausages) at early voting centers.
That letter concerned the use of two sports venues—the Brewers’ Miller Park and the Bucks’ Fiserv Forum—as early voting sites.
Last week, the Milwaukee Election Commission announced that it was withdrawing the two sports facilities as early voting sites, citing the fear that they would be vulnerable to legal challenges, and that any votes cast there could be retroactively invalidated by a court.
Miller Park and Fiserv Forum were set to be just two among dozens of sports stadiums, arenas, and practice facilities that are, for the first time, going to become cogs in the democratic process.
Adapting these sites for voting is the result of a player-led movement that began with the Milwaukee Bucks and their wildcat strike in the NBA bubble after the shooting of Jacob Blake in Kenosha, Wisconsin.
Before play resumed in the NBA, the Players Association and the league agreed to a series of conditions; chief among them was the use of arenas as voting sites.
At a time when voter suppression continues to be an electoral strategy for one of the two major parties, and the coronavirus pandemic has made in-person voting riskier and more challenging, it seems like a good and intuitive idea to use stadiums as polling places.
A shortage in poll workers due to COVID fears led the city to go from 182 planned neighborhood polling places to just five on Election Day. The result was chaos, long lines, and exceptionally low turnout.
In a phone interview conducted before Fiserv Forum was canceled as a voting site, Milwaukee Bucks vice president Alex Lasry—whose father Marc co-owns the team—told Slate that he would like to see the arena used as a polling place not just in presidential and midterm elections, but in local races for years to come.
But as the Milwaukee case proves, the process of transforming sports venues into polling places is logistically and legally challenging in ways that go beyond even the demonization of mascots by Republicans bent on suppressing voter turnout in cities.
“You go to bed at night and the law is one way,” said Anita Johnson of Souls to the Polls, a Milwaukee organization committed to reaching voters through inner-city churches.
It’s the protest movement, after all, and the ensuing focus by LeBron James and other public figures on the vote, that led directly to the widespread use of sports venues as polling places.
This summer, when James announced the formation of More Than a Vote—an organization dedicated to protecting and turning out the Black vote—the biggest early headlines described the group’s successful push to use NBA facilities as voting sites.
As a high-profile initiative with the specific goal of getting out the vote, it’s tempting to think that the stadium polling sites would cause higher turnout and participation—but they may be more of an effect of the many other forces driving high voter engagement this cycle.
“I think it’s a combination of widespread national interest in racial justice and the pandemic happening simultaneously [driving engagement]—and the fact that these arenas aren’t actually being used for sports [that] makes them available,” said Barry Burden, a political science professor at the University of Wisconsin-Madison and founding director of its Elections Research Center.
Souls to the Polls has a stated goal of turning out 100,000 voters in Milwaukee.
The experts I spoke with—from Johnson in Milwaukee to elections experts like Burden and Kevin Morris of the Brennan Center for Justice, who wrote a report about Milwaukee’s disastrous April primary—said they believed that most voters would probably vote at the place most convenient for them, even if it’s not as glamorous as a pro sports facility.
“I don’t think [stadiums] are likely to turn out huge numbers of new voters who otherwise wouldn’t be voting somewhere else,” said Burden, even before Fiserv Forum and Miller Park were nixed as voting sites.
A world in which Fiserv Forum and Miller Park are even being considered as voting sites is a world that is already funneling more of the necessary resources to its electoral system.
But in Atlanta’s Fulton County, there were fewer problems—in part because State Farm Arena, home of the Hawks, was opened as an early voting site with free parking for voters.
In Milwaukee, election officials anticipate that more than half of ballots will be cast by absentee voters, either via mail, designated drop-off locations, or in-person early voting.
In essence, a world in which Fiserv Forum and Miller Park are even being considered as voting sites is a world that is already funneling more of the necessary resources to its electoral system.
After the debacle in April, Milwaukee appears to be on pace to have plenty of poll workers on Nov. 3, and to be ready to process the deluge of early ballots.
Likewise, LeBron James’ most important accomplishment this election may not be championing the stadiums, but the recent news that More Than a Vote has already recruited 10,000 poll workers, and that it has plans to recruit more in targeted cities throughout the country.
Last month, a federal judge issued a series of rulings that would have eased the burden on some voters: allowing poll workers to volunteer outside their counties of residence; allowing ballots postmarked on Election Day (Nov. 3) to be counted if they arrived by Nov. 9; extending the registration deadline from Oct. 14 to Oct. 21.
To a certain extent, it doesn’t matter that citizens, political activists, and major civic players like the Bucks want to expand voting access in Milwaukee.","('voting', 0.4613364731036919)","('milwaukee', 0.2606624340521073)","('polling', 0.21198986688660937)"
file-16,"On a humid, 90-degree day in early September, students at the University of Alabama in Tuscaloosa willed themselves to feel normal.
They were happy to be at college, and they didn’t grumble about the lack of on-campus events, or the online classes, or even the prospect of being placed in one of the dreary isolation dorms.
“There was a lot of sympathy from the older classes that our freshman year is this whole COVID situation,” a freshman named John told me.
And it may be strangest for students at large state schools like my alma mater, the University of Alabama, where football shapes the school’s identity.
To be a college student at Alabama this fall is to be, as the New York Times put it, a participant in a “high-stakes experiment.” UA is not the only large state school still holding classes in person, but it’s chosen to carry on when other schools would’ve put live instruction on pause.
The first week that the university publicly released its COVID numbers, 562 students had tested positive.
Students placed in COVID dorms told reporters that they weren’t given any information or care and received only sad, small meals.
Professors opened their emails one day to find a warning from the administration not to tell their students if one of their classmates had tested positive.
Parties are thought to be a major source of campus outbreaks, and the University of Alabama is the No. 1 party school in the nation.
College football is more popular here than anywhere else in America, and fans traveled from all over the state to Bryant-Denny Stadium for the first home game last weekend.
The fans in the stadium may have been thankful for whatever scraps of a game day they could get, but other students have been left wondering if it’s all worth it—if the massive effort to replicate the college experience was ever the right way to go.
On Aug. 18, the faculty senate asked the administration to identify the threshold at which the university would go fully online, and the school’s higher-ups responded by saying only that they were “monitoring multiple data points.” On Aug. 19, the first day of classes, the New York Times reported on an expensive, high-tech system that the University of Alabama System had developed to track cases and predict outbreaks.
Critics quickly pointed to the plan’s limitations: the long lag times, the high bar to be flagged by contact tracing, and the limited ability to regulate the behavior of students who lived off campus.
Early results supported the critics: After one week, there were 562 positive tests for students.
“The risk in closing a college campus and forcing thousands of students home at once is that the virus then has the opportunity to spread more widely to other geographic locations and possibly more vulnerable populations,” the university system said in a press release.
A public university has five main sources of money: state funding, tuition, investments, donations, and auxiliary services, which include merchandise, sports, and the expenses of living on campus.
Without in-person classes to keep students on campus, the university stood to lose a critical profit center.
A UCLA professor called Alabama “far and away the extreme” when it comes to recruiting out-of-state students, noting that the school received three times more in out-of-state tuition than in-state funding.
Football is such an essential part of the fabric of the university that when the school was looking for someone to run their COVID hotline and concierge service—providing meals and supplies for quarantining students—it turned to the events company that handles traffic and crowds on game days.
A freshman named Kalynn told me that while she decided to come to UA in large part because of football, she probably wouldn’t go to any games this year—students enter a lottery to get tickets, and even if she was one of the roughly 600 freshmen who got one, she wouldn’t be able to bring any friends along.
“If the university actually prioritized its students, we would make up more than 20 percent of the crowd at football games.”
If you ask out-of-state and sometimes even international students why they chose to attend the 65th-ranked public school in America, many will tell you it’s because it seemed like a quintessentially Southern experience, with football and Greek life and the partying that comes with it.
Alabama’s athletic department has not made its COVID policies fully public, but it has said it tests its players three times a week and screens them daily for symptoms.
“We’ve had a minimal amount of players that tested positive, but we have had some,” Alabama coach Nick Saban said early in September.
But they skirted the larger questions around amateurism, and whether it would be appropriate for colleges to continue playing football if other students weren’t on campus.
“Faculty are cynical about football, but they don’t understand how many students come to Alabama because they don’t know where they want to go to college, but they know it’s fun.”
This is what it looked like to be a rule-following freshman during the first few weeks at the University of Alabama.
Three weeks into the semester, the school reported sanctioning three student organizations and 639 students—suspending 33—for violating COVID guidelines.
A student who works for university housing told me that he never received any updates from the administration on COVID policies.
On Aug. 16, just before classes started, photos circulated on social media of bars packed for a Greek life event, prompting the university to close sorority and fraternity houses to all except those who lived there and those who had meal plans (to-go only) there.
Meredith, a senior who lives in a sorority house and who has a medical condition putting her at higher risk, said she felt the university wasn’t doing enough to keep COVID-positive students away from the rest of the student body.
Early in the semester, as the university tried frantically to control the narrative around the case numbers, the school president, Stuart Bell, sent a scolding email to the student body.
On Oct. 1, the university announced that there had been just 24 positive tests that week.
“The university has talked about how the plans are working,” Brooke, the Alabama junior, told me.
When I spoke with students in September, they said they hoped that the spring semester—in some cases, their last semester as college students—would be more normal.","('students', 0.4935770592152229)","('university', 0.26972531457336935)","('alabama', 0.2478499481268407)"
file-17,"Jack White, tapping on a guitar designed by Eddie Van Halen.
It’s rare these days for Saturday Night Live to book a musical guest with a taste for guitar heroics, but if there was ever a week to have someone strutting and windmilling around Studio 8H it was this one, which saw the death of guitar genius (and occasional inventor) Eddie Van Halen.
Jack White fit the bill admirably, turning in a blistering three-song medley and a performance of “Lazaretto” that included a nod to Van Halen’s trademark tapping style.
In his second song, White explicitly saluted Van Halen with his performance of “Lazaretto,” the title track from his 2014 album.
That has nothing to do with Jack White or Eddie Van Halen, but I think it’s neat.) Here’s the performance—at 2:42, White does a little Van Halen tapping:
That’s an Eddie Van Halen guitar (some custom version of the Wolfgang USA), featuring his patented guitar peghead, and as White explained on Instagram, using a guitar Van Halen designed seemed like a better tribute than “insult[ing] the man’s talent by trying to play one of his songs.”
View this post on Instagram           i thought it could be a nice gesture for me to use this blue eddie van halen model guitar for one of the songs tonight on SNL.
Saturday Night Live never booked Van Halen as a band, but Valerie Bertinelli hosted in 1987, while she was married to Eddie, who spent that week hanging out around the studio.
There’s no longer anyone on the planet who can play guitar like that—but Jack White did a great job saluting a man who can’t be imitated.","('guitar', 0.4418929261896213)","('jack', 0.2805076587126827)","('eddie', 0.27193410842438237)"
file-18,"In his early career, Hertzfeldt brutalized his stick-figure protagonists as a dark joke, but over the past two decades, during which time he’s also become the most important independent animator in the United States, the horrors he’s visited upon them have become existential as well as physical.
Rejected, released in 2000, begins as deranged slapstick, with crudely drawn characters shrieking as blood gushes from their wounds, but by the end, the film itself starts to disintegrate, and it takes the viewer’s mind with it.
And in the World of Tomorrow series, whose third installment was self-released today, he explores the degradation of consciousness as it’s transferred from a woman named Emily to her several clones, some of whom function as little more than drooling backup units.
Sign up for the Slate Culture Newsletter
Where his early shorts feature line drawings floating in a sea of white, the World of Tomorrow series makes use of elaborate digital backdrops.
As I’ve watched Hertzfeldt’s movies over the years, I’ve always marveled at the depth of my response to these deceptively crude figures, who evoke visceral reaction in ways that more supple and realistic depictions do not.
World of Tomorrow Episode Three: The Absent Destinations of David Prime, shifts its perspective from Emily to David, the subject of her unrequited and then tragically realized love.
(Technically the consummation of their romance involves several generations of clones and a bit of time travel, but it’s too complicated to summarize here.) Four hundred years before the first episode begins, David is visited by one of Emily’s clones, who implants in his mind the directions to a planet where he can retrieve his future clone’s memories of the time when the two of them were happy together.
In a time when we’ve rightly questioned whether any fictional personage can exist outside of cultural specificity, Hertzfeldt’s stick figures may be the last truly universal characters.
As a longtime admirer of Hertzfeldt’s hand-drawn animation, I worried that the World of Tomorrow series’ switch to digital would rob his characters of their alchemical crudity, but if anything, the contrast between his minimalist figures and the intricately detailed world they inhabit has only grown starker, and more cruel.
It is called ‘Will You Be the One to Discover My Dead Body?’” But it also serves as camouflage for the hard-won sentimentality at the core of the World of Tomorrow films.
“You are alive and living now.” It’s a mere gloss on carpe diem, but after the disorientation World of Tomorrow has put us through, it’s like a raft in a raging sea.","('tomorrow', 0.350495323577336)","('hertzfeldt’s', 0.219059577235835)","('emily', 0.175247661788668)"
file-19,"When the NBA season started, the Miami Heat had 60-to-1 odds to win the championship, making them the 14th-most-likely team to win it all.
But after nearly a full calendar year of Sonic- and non-Sonic-related tumult, the long shots from South Beach are within striking distance of winning the NBA Finals.
FiveThirtyEight’s 2019-20 NBA forecast model, code-named RAPTOR, gives the Heat a 73 percent chance of winning the Finals.
How is it possible that the Lakers, a team with LeBron James and Anthony Davis, have just a 27 percent chance to win a seven-game series?
“Basically, the ‘predictive’ version of RAPTOR is wildly high on the Heat and down on the Lakers in the playoffs so far,” FiveThirtyEight’s Neil Paine told me.
RAPTOR takes that (among lots of other things) into account, and forecasts the Lakers won’t be as good as their past performances might lead you believe.
According to Paine, the gap between the Lakers’ standard and predictive RAPTOR scores is the fifth-widest that FiveThirtyEight has seen since 2014.
At that point, when Los Angeles was up two games to none against the Denver Nuggets in the Western Conference Finals, RAPTOR still gave LeBron and co.
just a 23 percent chance of winning the Finals.
Paine says that his “own personal intuition is that [RAPTOR] is underrating the Lakers.” But don’t underrate the scrappy Heat, either.
They’re both favorites and underdogs, just like those gritty Lakers.
Join Slate Plus","('raptor', 0.3680341240903109)","('paine', 0.2628815172073649)","('fivethirtyeight’s', 0.21030521376589192)"
